txn_id,user_id,txn_date,txn_type,category,amount,status
T716804,U0001,2025-03-29,FamCard,Transport,324.39,pending
T242326,U0001,2025-03-21,QR,Food,244.51,success
T391376,U0001,2025-02-26,QR,Entertainment,87.51,success
T565862,U0001,2025-05-17,UPI,Shopping,144.3,success
T111896,U0001,2025-05-16,QR,Education,823.46,success
T610459,U0001,2025-01-01,QR,Education,389.02,success
T528933,U0001,2025-04-27,FamCard,Education,19.47,success
T220538,U0001,2025-02-15,UPI,Shopping,764.05,success
T179696,U0001,2025-02-28,FamCard,Shopping,735.79,success
T622178,U0001,2025-01-31,QR,Gaming,27.61,success
T138008,U0001,2025-04-21,QR,Education,375.23,success
T876579,U0001,2025-01-04,QR,Entertainment,120.22,success
T891950,U0001,2025-01-31,FamCard,Education,206.2,failed
T618417,U0001,2025-01-28,UPI,Transport,38.22,success
T679054,U0001,2025-02-04,QR,Education,269.94,success
T709035,U0001,2025-04-02,QR,Entertainment,348.59,failed
T165899,U0002,2024-07-07,UPI,Entertainment,285.03,success
T455274,U0002,2024-07-11,QR,Gaming,209.8,success
T785696,U0002,2024-06-11,QR,Gaming,636.97,pending
T979803,U0002,2024-08-22,QR,Shopping,325.51,success
T728015,U0002,2024-04-14,QR,Education,6.25,success
T999349,U0002,2024-05-17,FamCard,Food,59.4,success
T543068,U0002,2024-08-05,UPI,Gaming,179.29,success
T550988,U0002,2024-05-18,FamCard,Entertainment,355.01,success
T179574,U0002,2024-04-03,QR,Shopping,317.19,success
T401812,U0002,2024-03-27,QR,Entertainment,113.88,pending
T514391,U0003,2025-06-13,QR,Transport,37.42,success
T373084,U0003,2025-03-10,FamCard,Education,254.96,success
T358055,U0003,2025-04-13,UPI,Gaming,115.05,success
T281218,U0003,2025-03-04,QR,Transport,77.99,success
T450133,U0003,2025-01-27,FamCard,Education,206.58,pending
T299513,U0003,2025-06-23,UPI,Food,330.82,success
T297868,U0003,2025-03-14,QR,Gaming,190.37,success
T888403,U0003,2024-12-28,QR,Transport,117.74,success
T700172,U0003,2025-03-10,UPI,Shopping,671.48,success
T923685,U0003,2025-05-31,FamCard,Education,4.07,success
T357919,U0003,2025-06-01,QR,Gaming,88.56,success
T761549,U0003,2025-05-04,UPI,Gaming,7.66,success
T405242,U0003,2025-06-14,UPI,Shopping,1052.66,success
T551078,U0003,2025-02-15,FamCard,Shopping,146.37,success
T364304,U0004,2024-11-21,FamCard,Gaming,290.06,success
T334165,U0004,2024-07-24,FamCard,Education,687.59,success
T325161,U0004,2024-12-25,QR,Transport,338.53,success
T408565,U0004,2024-08-08,UPI,Food,289.31,failed
T511519,U0004,2024-09-02,FamCard,Gaming,153.81,success
T679176,U0004,2024-09-03,UPI,Education,213.26,success
T886378,U0004,2024-11-14,FamCard,Entertainment,241.48,failed
T616021,U0005,2024-05-11,UPI,Education,129.97,success
T362083,U0005,2024-08-19,FamCard,Food,362.5,success
T272812,U0005,2024-07-15,QR,Shopping,1023.43,success
T266135,U0005,2024-07-21,UPI,Education,460.99,failed
T468080,U0005,2024-04-09,FamCard,Food,964.18,success
T496101,U0005,2024-04-12,FamCard,Shopping,40.7,success
T330928,U0005,2024-07-22,QR,Food,284.23,success
T329927,U0005,2024-05-15,UPI,Transport,1587.62,failed
T765863,U0007,2025-03-23,UPI,Food,489.52,success
T357673,U0007,2024-12-15,QR,Gaming,128.32,success
T975343,U0007,2024-12-28,QR,Entertainment,165.64,success
T789303,U0007,2025-05-04,QR,Entertainment,621.91,failed
T836960,U0007,2025-04-19,UPI,Food,724.22,success
T452494,U0007,2024-12-17,FamCard,Transport,754.45,failed
T633229,U0007,2024-12-14,UPI,Food,184.22,success
T552978,U0007,2025-03-17,FamCard,Food,36.2,success
T620061,U0007,2025-03-18,UPI,Food,1023.5,success
T296150,U0007,2024-11-23,UPI,Education,385.46,success
T496213,U0007,2025-04-22,FamCard,Food,54.22,success
T915100,U0007,2024-12-31,QR,Entertainment,1057.47,success
T796325,U0007,2024-11-16,QR,Food,734.83,success
T862717,U0007,2025-01-16,UPI,Food,335.92,success
T245867,U0007,2025-03-24,UPI,Entertainment,687.83,success
T588555,U0007,2025-05-01,UPI,Food,73.72,success
T753723,U0007,2025-03-14,QR,Transport,1048.27,success
T490681,U0007,2025-04-18,FamCard,Gaming,13.18,success
T568240,U0007,2024-11-29,QR,Gaming,263.19,success
T490199,U0007,2025-02-19,QR,Education,1040.61,success
T209654,U0007,2025-03-09,FamCard,Food,930.71,success
T205522,U0007,2025-03-09,UPI,Entertainment,107.55,failed
T755384,U0007,2025-03-07,FamCard,Transport,385.33,success
T134033,U0007,2024-12-15,FamCard,Transport,399.07,success
T187038,U0008,2024-09-15,UPI,Entertainment,857.97,failed
T252300,U0008,2024-08-19,UPI,Education,1343.93,success
T918477,U0008,2024-06-06,UPI,Shopping,60.1,success
T857332,U0008,2024-09-02,UPI,Transport,778.39,success
T143450,U0008,2024-04-04,QR,Entertainment,351.09,failed
T697656,U0008,2024-06-18,QR,Food,299.55,success
T274191,U0008,2024-06-07,QR,Transport,68.12,success
T673559,U0008,2024-05-13,FamCard,Food,128.69,success
T548010,U0014,2024-12-02,QR,Gaming,649.42,success
T239749,U0014,2024-10-18,FamCard,Transport,538.08,success
T246996,U0014,2024-12-02,UPI,Entertainment,171.0,success
T857021,U0015,2025-02-23,QR,Shopping,146.68,success
T109549,U0015,2025-01-23,UPI,Gaming,246.75,success
T404037,U0015,2024-12-25,FamCard,Gaming,237.36,success
T777427,U0015,2025-03-24,FamCard,Food,236.39,failed
T661314,U0015,2024-11-13,FamCard,Entertainment,119.4,pending
T698679,U0015,2024-12-18,FamCard,Gaming,91.17,success
T438737,U0015,2025-02-09,UPI,Food,275.45,success
T561734,U0015,2024-10-17,FamCard,Shopping,484.51,success
T961809,U0015,2024-11-09,UPI,Gaming,116.26,success
T190602,U0015,2024-10-25,QR,Gaming,61.75,success
T986652,U0015,2025-03-13,QR,Food,1247.51,failed
T935814,U0015,2024-10-10,FamCard,Education,78.38,success
T589938,U0015,2024-10-11,UPI,Transport,302.81,success
T930177,U0015,2025-01-28,QR,Transport,162.66,success
T708875,U0015,2024-10-06,QR,Education,385.47,success
T293014,U0015,2024-11-21,QR,Gaming,950.37,success
T342620,U0015,2025-02-13,FamCard,Entertainment,100.0,success
