user_id,age,city_tier,signup_date,card_activated,upi_linked,referral_used
U0001,17,Tier 1,2024-12-21,1,1,0
U0002,24,Tier 2,2024-03-18,1,0,1
U0003,21,Tier 3,2024-12-25,1,1,1
U0004,19,Tier 1,2024-07-05,1,1,0
U0005,15,Tier 3,2024-03-13,1,1,0
U0006,15,Tier 1,2024-10-26,0,1,0
U0007,14,Tier 3,2024-11-11,1,1,0
U0008,22,Tier 3,2024-03-26,1,1,1
U0009,19,Tier 1,2024-09-03,0,1,0
U0010,20,Tier 2,2024-12-10,0,1,1
U0011,13,Tier 1,2024-09-10,0,1,0
U0012,24,Tier 2,2024-02-12,0,1,1
U0013,22,Tier 2,2024-12-30,0,0,1
U0014,16,Tier 2,2024-09-10,1,1,1
U0015,15,Tier 1,2024-10-02,1,0,1
U0016,15,Tier 1,2024-05-26,1,0,0
U0017,17,Tier 1,2024-08-29,1,1,0
U0018,19,Tier 1,2024-02-12,1,0,0
U0019,18,Tier 2,2024-01-14,1,1,0
U0020,17,Tier 3,2024-04-12,1,1,1
U0021,19,Tier 2,2024-03-30,1,1,1
U0022,15,Tier 2,2024-06-03,1,0,1
U0023,17,Tier 3,2024-10-05,0,1,1
U0024,17,Tier 2,2024-08-04,1,0,0
U0025,18,Tier 3,2024-06-25,0,1,0
U0026,21,Tier 2,2024-09-24,1,0,1
U0027,15,Tier 1,2024-12-03,0,1,1
U0028,19,Tier 1,2024-11-07,0,1,1
U0029,19,Tier 2,2024-06-23,0,1,1
U0030,13,Tier 1,2024-01-12,0,1,1
U0031,19,Tier 1,2024-04-29,1,1,0
U0032,15,Tier 2,2024-12-14,0,0,1
U0033,14,Tier 2,2024-11-26,0,1,0
U0034,24,Tier 2,2024-02-27,0,0,1
U0035,24,Tier 1,2024-01-04,0,1,1
U0036,21,Tier 1,2024-11-25,1,0,0
U0037,17,Tier 2,2024-03-17,0,1,0
U0038,14,Tier 3,2024-05-25,1,1,1
U0039,20,Tier 2,2024-05-11,1,0,0
U0040,18,Tier 3,2024-03-05,1,1,1
U0041,15,Tier 3,2024-10-23,0,1,1
U0042,18,Tier 2,2024-01-18,1,1,0
U0043,13,Tier 1,2024-10-24,1,1,0
U0044,23,Tier 2,2024-01-31,1,1,1
U0045,16,Tier 2,2024-08-27,0,0,1
U0046,20,Tier 2,2024-10-08,1,1,0
U0047,17,Tier 2,2024-12-31,1,1,1
U0048,19,Tier 2,2024-06-10,1,1,1
U0049,19,Tier 1,2024-08-23,0,1,0
U0050,15,Tier 2,2024-08-08,0,1,0
U0051,24,Tier 1,2024-02-29,0,0,1
U0052,21,Tier 3,2024-04-05,1,0,0
U0053,23,Tier 1,2024-03-03,0,1,0
U0054,23,Tier 1,2024-10-05,1,0,0
U0055,19,Tier 2,2024-02-17,1,1,0
U0056,23,Tier 2,2024-08-12,1,0,0
U0057,14,Tier 2,2024-12-31,1,1,1
U0058,15,Tier 1,2024-09-29,0,1,1
U0059,13,Tier 2,2024-07-12,1,1,0
U0060,17,Tier 1,2024-02-20,1,1,0
U0061,17,Tier 3,2024-03-15,1,1,0
U0062,16,Tier 3,2024-12-12,1,1,0
U0063,22,Tier 2,2024-09-18,1,1,0
U0064,17,Tier 1,2024-05-05,1,1,0
U0065,16,Tier 2,2024-02-01,1,1,0
U0066,19,Tier 1,2024-09-29,0,1,0
U0067,15,Tier 2,2024-12-30,0,1,1
U0068,21,Tier 1,2024-08-03,0,1,0
U0069,14,Tier 3,2024-08-30,1,1,0
